PMID,FACTOR,RISK,TEXT
38105233,PICC infection,Yes,"comparing the clinical data of 293 cases of non-vte group and 235 cases of vte group, we found significant differences in age, smoking, temperature, amount of blood loss, differentiation degree, peripherally inserted central catheter (picc), radiotherapy, anemia, infection, white blood cell count, prothrombin time (pt), pt%, prothrombin ratio, international normalized ratio, thrombin time, ca199 and cea between the two groups (p < 0.05).."
36013377,Chemotherapy,No,central venous access and the risk for thromboembolic events in patients undergoing neoadjuvant chemotherapy and radical cystectomy for muscle-invasive bladder cancer. thromboembolic events (tee) are high-risk complications in patients undergoing neoadjuvant chemotherapy (nac) and radical cystectomy (rc) for urothelial muscle-invasive bladder cancer (mibc).. .
36013377,Cancer,No,central venous access and the risk for thromboembolic events in patients undergoing neoadjuvant chemotherapy and radical cystectomy for muscle-invasive bladder cancer. thromboembolic events (tee) are high-risk complications in patients undergoing neoadjuvant chemotherapy (nac) and radical cystectomy (rc) for urothelial muscle-invasive bladder cancer (mibc).. .
28619777,Cancer,Yes,"patients with cancer are at highest risk, and this increases morbidity, mortality and costs.. ."
28619777,PICC infection,No,"for the dressing hypothesis, we hypothesise chg discs will reduce catheter-associated bloodstream infection (cabsi) compared with no chg disc.."
37883756,Cancer,No,"patients in the control group were given routine nursing for lung cancer, and patients in the observation group were treated with nurse-patient co-management mode, and nursing intervention lasted for 2 months.. ."
35086961,PICC infection,No,"picc-related major (deep vein thrombosis (dvt), central line-associated bloodstream infection (clabsi) and catheter occlusion) and minor complications were collected.."
33908337,ICU,No,"multivariable cox proportional hazards models with robust sandwich standard error estimates accounting for the clustered nature of data were used to identify factors associated with picc complications in coated versus noncoated devices across general care, intensive care unit (icu), and oncology patients.. ."
33908337,PICC infection,No,"adjusting for known risk factors, antimicrobial piccs were not associated with infection reduction (hr, 1.16; 95% ci, 0.82-1.64), and antithrombogenic piccs were not associated with reduction in thrombosis and occlusion (hr, 1.15; 95% ci, 0.92-1.44).."
37572590,Cancer,No,methods: cancer patients scheduled for picc placement were potentially eligible; patients with contraindications to picc placement or existing diseases affecting blood flow were excluded; and those who later withdrew or did not reply to our contact request during the follow-up period were eliminated from this study.. .
25198809,Chemotherapy,No,"results: the two cvc groups (ports and non-ports) matched equally in terms of tumour site; all patients with solid tumours were included, haematology patients were excluded and chemotherapy regimens were comparable. conclusions: in our study, we demonstrated that central venous ports and picc lines in patients undergoing infusional chemotherapy had lower line infection rates than tunnelled catheters, and only ports have been shown to be almost complication-free.. ."
25198809,PICC infection,No,"conclusions: in our study, we demonstrated that central venous ports and picc lines in patients undergoing infusional chemotherapy had lower line infection rates than tunnelled catheters, and only ports have been shown to be almost complication-free. in addition, we found infection rates higher in cvcs s cared for by patient/carers rather than hospital only care, and higher in colorectal patients with stomas.."
25953205,Age,Yes,"after multivariate analysis, two risk factors were significantly associated with the overall occurrence of complications: age more than 70 years [or = 2.89 (1.06-7.89], p = 0.04] and number of lumen at least two [or = 2.64 (1.03-6.75), p = 0.04].. ."
25953205,PICC insertion procedure,No,". all picc complications were recorded during the patient hospitalization: infection [catheter-related bloodstream infection (crbsi), central line associated bloodstream infection (clabsi), exit-site infection, septic phlebitis], thrombosis, occlusion, mechanical complication (accidental withdrawal, malposition, median nerve irritation).."
25953205,PICC infection,No,"all picc complications were recorded during the patient hospitalization: infection [catheter-related bloodstream infection (crbsi), central line associated bloodstream infection (clabsi), exit-site infection, septic phlebitis], thrombosis, occlusion, mechanical complication (accidental withdrawal, malposition, median nerve irritation). conclusions: even in orthopedic patients with chronic orthopedic bone infection, piccs have a low rate of complication.."
34973357,Two or more lumens,No,". in multivariate cox analysis, independent risk factors for picc-associated complications were obesity (adjusted hazard ratio (ahr), 1.08, p < .001) and diabetes (ahr, 1.85, p = .039), adjusting for chronic renal failure, number of lumens, catheter/vein diameter ratio and duration of home-based care. the number of catheter lumens is one of the modifiable factors to reduce complications.."
34973357,Diabete,No,"in multivariate cox analysis, independent risk factors for picc-associated complications were obesity (adjusted hazard ratio (ahr), 1.08, p < .001) and diabetes (ahr, 1.85, p = .039), adjusting for chronic renal failure, number of lumens, catheter/vein diameter ratio and duration of home-based care. conclusions: in our study, the use of kt fix plus did not reduce the risk of complications adjusting for other risk factors such as obesity and diabetes.. ."
34973357,BMI,Yes,"in multivariate cox analysis, independent risk factors for picc-associated complications were obesity (adjusted hazard ratio (ahr), 1.08, p < .001) and diabetes (ahr, 1.85, p = .039), adjusting for chronic renal failure, number of lumens, catheter/vein diameter ratio and duration of home-based care. conclusions: in our study, the use of kt fix plus did not reduce the risk of complications adjusting for other risk factors such as obesity and diabetes.. ."
34973357,PICC infection,No,"the primary endpoint was the composite of picc-associated complications until removal, including occlusion, migration, accidental withdrawal, infection, thrombosis, and hematoma.."
31073442,Surgery_type of surgery,No,"disease severity as assessed by risk-adjusted classification for congenital heart surgery (rachs) score ( p  < 0.046), year of placement ( p  < 0.001), and line type adjusted for thrombolytic (alteplase) use are significantly associated with risk of any cabsi.."
31073442,PICC infection,Yes,"catheter-associated blood stream infections in intracardiac lines. in some institutions, these lines are used as the preferred long-term access line due to concerns for catheter-associated blood stream infections (cabsi) and catheter-related venous thrombosis with central lines in other locations.."
34297997,PICC infection,No,"the primary outcome was complication rate (composite of infection, venous thrombosis, pulmonary embolus, inability to aspirate blood, mechanical failure, and other) assessed until device removal, withdrawal from study, or 1-year follow-up.."
36960818,Two or more lumens,No,". compared to multilumen piccs, single-lumen piccs carry a lower rate of complications, including central-line-associated bloodstream infection and thrombosis.."
36960818,PICC infection,No,"compared to multilumen piccs, single-lumen piccs carry a lower rate of complications, including central-line-associated bloodstream infection and thrombosis.."
34711086,Cancer,No,"methods: in this randomized controlled trial, 120 cancer patients were randomly assigned to the upper portion of the red zone (rz), the green zone (gz) and the lower portion of the yellow zone (yz) groups (at a 1:1:1 ratio).. ."
34711086,PICC insertion procedure,No,". conclusions: this study found that the lower portion of yz seems to be another suitable picc insertion site for a higher degree of comfort and a lower risk of occlusion and thrombosis, which broadens the choice of picc insertion sites in the upper arm for clinical practice.."
26519981,ICU,No,"purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu).. . purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu). central lines were followed from insertion time until hospital dismissal (primary analysis) or icu discharge (secondary analysis). only 1 central line-associated bloodstream infection occurred in a picc following icu dismissal, p > .999.."
26519981,PICC infection,No,"purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu). central line-associated bloodstream infection was defined according to federal reporting criteria. only 1 central line-associated bloodstream infection occurred in a picc following icu dismissal, p > .999.."
26217634,PICC infection,No,"the most common catheter-related complication was thrombosis (12, 8.8%) followed by infection (8, 5.8%).."
36644041,Surgery_type of surgery,No,"this study aims to identify the incidence of deep vein thrombosis (dvt) and superficial vein thrombosis (svt) among post-craniotomy/craniectomy patients and further evaluate established hypercoagulability risk factors such as trauma, tumors, and surgery. the multivariate logistic regression analysis found that increasing the number of days between surgery and administration of anticoagulants significantly increased the risk of vte incidence (odds ratio 1.183, 95% ci 1.068-1.311, p = 0.001).."
36644041,Anticoagulants therapy,No,"the multivariate logistic regression analysis found that increasing the number of days between surgery and administration of anticoagulants significantly increased the risk of vte incidence (odds ratio 1.183, 95% ci 1.068-1.311, p = 0.001). future prospective studies should assess vte risk assessment models such as ""3 bucket"" or ""caprini"" to develop universal guidelines for administering anticoagulant therapy to post-craniotomy/craniectomy patients that consider the timing of post-operative therapy initiation.. ."
35495896,Slower blood flow velocity,No,"secondly, we compared the average blood flow velocity per unit time of axillary vein at different moments. the average blood flow velocity per unit time of axillary vein in the study group was faster compared to the control at different time points (p < 0.05). in terms of the average blood flow velocity per unit time of axillary vein at different time points between the two groups, there exited no significant difference before catheterization (p > 0.05). but 14 and 28 days after catheterization, the average blood flow velocity per unit time of axillary vein in the study group was better when compared to the control (p < 0.05). there was no significant difference in vascular diameter, peak blood flow velocity, and vascular pressure between the two groups before nursing (p > 0.05), but after nursing, the vascular diameter and peak blood flow velocity group were higher, and the vascular pressure was lower in the study (p < 0.05).."
33594508,Cancer,No,"assessing the thrombosis risk of peripherally inserted central catheters in cancer patients using caprini risk assessment model: a prospective cohort study. purpose: there was no optimal risk assessment tool to stratify the risk of peripherally inserted central catheter-related venous thromboembolism (picc-rvt) in cancer patients. conclusions: the caprini can be used for high-risk screening of the picc-rvt in cancer patients, and classification of the highest risk level using a score of 6 can be more clinically significant compared to 5 as recommended.. ."
25377903,PICC indwelling time,No,"results: of the 163 patients who represented 19104 home-catheter days, 19 (11.7%) patients experienced 25 catheter complications (ccs; 12 occlusions, 11 central line-associated bloodstream infections, one thrombosis and one line dislodgment).. ."
25377903,PICC infection,No,"results: of the 163 patients who represented 19104 home-catheter days, 19 (11.7%) patients experienced 25 catheter complications (ccs; 12 occlusions, 11 central line-associated bloodstream infections, one thrombosis and one line dislodgment).."
24983259,BMI,No,"hypertension (p = .022) and obesity (p = .008), defined as a body mass index ≥30, were associated with uedvt.. ."
24983259,Hypertension,Yes,"hypertension (p = .022) and obesity (p = .008), defined as a body mass index ≥30, were associated with uedvt.."
33019880,Chemotherapy,No,"methods: adult outpatients (aged 18-75 years), with an eastern cooperative oncology group (ecog) performance status of 0-2, bearing solid tumors and candidates for intravenous chemotherapy were eligible for the study.. ."
33019880,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". methods: adult outpatients (aged 18-75 years), with an eastern cooperative oncology group (ecog) performance status of 0-2, bearing solid tumors and candidates for intravenous chemotherapy were eligible for the study.."
33019880,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"exclusion criteria were active infections, coagulopathy (defined as platelet count <50,000/μl and/or prothrombin time more than 18 s), life expectancy <6 months, or inability to give written informed consent.. ."
33019880,PICC infection,Yes,"exclusion criteria were active infections, coagulopathy (defined as platelet count <50,000/μl and/or prothrombin time more than 18 s), life expectancy <6 months, or inability to give written informed consent.."
30348912,Gender,No,". the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups.."
30348912,Age,No,"the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups.. ."
30348912,PICC infection,No,we investigated whether a novel flushing method for piccs could decrease the risk of venous thromboembolism (vt) and catheter-associated bloodstream infections (cabsis) compared to the traditional flushing method..
33084898,PICC insertion procedure,No,". conclusions and relevance: this cohort study suggests that, when piccs were placed for intravenous antimicrobial therapy, infectious disease physician approval of picc insertion was associated with more appropriate device use and fewer complications.."
33084898,PICC infection,No,"complications related to piccs included catheter occlusion, deep vein thrombosis, and central line-associated bloodstream infection.."
28634973,Cancer,No,"piccs were restricted to cancer and infectious disease patients, and were followed up irrespective of the management setting (inpatient, outpatient or intermittently hospitalised after insertion).. ."
28634973,PICC infection,No,"during a total of 10 402 catheter-days (median dwell time 62 days), there were five central line-associated bloodstream infections, including one mucosal barrier injury laboratory-confirmed bloodstream infection and two exit-site infections, yielding incidence rates of 0.48 and 0.19 infections per 1000 catheter-days, respectively.."
28823518,Age,No,"forty-four patients were treated with rivaroxaban and 40 with initial lmw heparin and vitamin k antagonist with continuation of vitamin k antagonists alone once international normalized ratio was therapeutic findings: in the rivaroxaban group mean (sd) age was 51 (16) years and 57% were men, whereas in the other group respective values were 50 (16) years and 56%.. ."
36676072,PICC infection,No,"however, it is well known that uvcs can lead to some serious complications, both mechanical and infective, including clabsi (central line-associated bloodstream infections). these guidelines also suggest as an infection prevention strategy to remove uvc after 4 days, followed by the insertion of a picc if a central line is still needed. in this study we reviewed a total of 177 articles, found by using the pubmed database with the following search strings: ""uvc and neonates"", ""(neonate* or newborn*) and (uvc or central catheter*) and (infection*)"".."
27371372,PICC insertion procedure,No,". conclusions: our prospective study suggests that the rate of picc-related upper extremity venous thrombosis in oncology patients is high, and the occurrence of symptomatic thrombosis could be lowered with regular weekly doppler screening after picc insertions.."
22948189,Surgery_type of surgery,Yes,"risk factors for crlvt including mannitol therapy during dwell time, previous history of venous thromboembolism, surgery longer than 1h during dwell time, and line placement in a paretic arm were also compared between groups.."
22948189,PICC infection,No,"objective: to compare cumulative complication rates of peripherally (picc) and centrally (cicvc) inserted central venous catheters, including catheter-related large vein thrombosis (crlvt), central line-associated bloodstream infection (clabsi), and line insertion-related complications in neurological intensive care patients.."
38157768,PICC infection,No,"complications analyzed included catheter related deep venous thrombosis (dvt), central line associated blood stream infection (clabsi), and catheter related central venous stenosis.."
34177272,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"conclusion: use of cvc or picc line, preexisting diagnosis of hypertension, malignancy, and ckd were independent risk factors of uedvt, while there was no significant correlation between increased platelet levels and uedvt.. ."
34177272,Hypertension,No,"conclusion: use of cvc or picc line, preexisting diagnosis of hypertension, malignancy, and ckd were independent risk factors of uedvt, while there was no significant correlation between increased platelet levels and uedvt.."
28822403,ICU,Yes,"peripherally inserted central venous catheters (piccs) are now commonly used for central access in the intensive care unit (icu) setting; however, there is a paucity of data evaluating the complication rates associated with these lines.. . peripherally inserted central venous catheters (piccs) are now commonly used for central access in the intensive care unit (icu) setting; however, there is a paucity of data evaluating the complication rates associated with these lines. these were divided into two groups: those placed at the bedside in the icu and those placed by interventional radiology in non-icu patients. the combined thrombotic and central line associated blood stream infection rate was 6.17 per cent in the non-icu group and 10.53 per cent in the icu group (p = 0.035). the thrombotic complication rate was 5.88 per cent in the non-icu group and 7.60 per cent in the icu group (p = 0.38), whereas the central line associated blood stream infection rate was 0.29 per cent in the non-icu group and 2.92 per cent in the icu group (p = 0.002). this study seems to suggest that picc lines placed at the bedside in the icu setting are associated with higher complication rates, in particular infectious complications, than those placed by interventional radiology in non-icu patients.."
28822403,PICC infection,No,"the combined thrombotic and central line associated blood stream infection rate was 6.17 per cent in the non-icu group and 10.53 per cent in the icu group (p = 0.035). the thrombotic complication rate was 5.88 per cent in the non-icu group and 7.60 per cent in the icu group (p = 0.38), whereas the central line associated blood stream infection rate was 0.29 per cent in the non-icu group and 2.92 per cent in the icu group (p = 0.002).."
27957644,PICC insertion procedure,Yes,". in the bst groups, 23.3% of placements were suboptimal and 30% nonoptimal, requiring repositioning. conclusion: tip malposition rates are high when using blind bst, exposing the patient to an increased risk of deep venous thrombosis and catheter malfunction.."
26369828,Cancer,No,"in patients with cancer, piccs were rated as appropriate for irritant or vesicant infusion, regardless of duration.. ."
26369828,PICC infection,No,"increasing use has led to the realization that piccs are associated with important complications, including thrombosis and infection.."
23633980,Cancer,No,"upper extremity venous thrombosis in patients with cancer with peripherally inserted central venous catheters: a retrospective analysis of risk factors. the purpose of this study was to ascertain risk factors associated with an increased risk of picc-associated uevt in patients with cancer. conclusion: specific factors significantly increase the risk of uevt in patients with cancer with piccs, whereas use of apas seems to have a protective effect against uevt.. ."
23633980,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"we analyzed many risk factors, including picc infection (pi), use of erythropoiesis-stimulating agents (esas), antiplatelet agents (apas), treatment dose anticoagulation (tda), and bevacizumab.. ."
23633980,PICC infection,Yes,"we analyzed many risk factors, including picc infection (pi), use of erythropoiesis-stimulating agents (esas), antiplatelet agents (apas), treatment dose anticoagulation (tda), and bevacizumab.."
23633980,Erythropoiesis-stimulating agents,No,"we analyzed many risk factors, including picc infection (pi), use of erythropoiesis-stimulating agents (esas), antiplatelet agents (apas), treatment dose anticoagulation (tda), and bevacizumab.."
32043739,Cancer,No,"catheter-related thrombosis incidence and risk factors in adult cancer patients with central venous access devices. aim: to review the incidence and risk factors for catheter-related thrombosis (crt) in cancer patients with a cvad. hodgkin lymphoma, germ cell and oesophagus cancers had the highest crt rates.. . hodgkin lymphoma, germ cell and oesophagus cancers had the highest crt rates.."
32043739,Age,No,"older age groups developed crt at lower rates (hr 0.57; 95% ci 0.39-0.84 for age 50-61 years, and hr 0.63; 95% ci 0.45-0.89 for age >61 years) compared to age <50 years. conclusions: age <50 years, picc lines and prior crt were associated with highest crt rate.. older age groups developed crt at lower rates (hr 0.57; 95% ci 0.39-0.84 for age 50-61 years, and hr 0.63; 95% ci 0.45-0.89 for age >61 years) compared to age <50 years.. ."
23354238,ICU,No,"which central venous catheters have the highest rate of catheter-associated deep venous thrombosis: a prospective analysis of 2,128 catheter days in the surgical intensive care unit. background: catheter-associated deep venous thromboses (cadvts) are a common occurrence in the surgical intensive care unit (sicu), necessitating central venous catheter (cvc) removal and replacement.. . background: catheter-associated deep venous thromboses (cadvts) are a common occurrence in the surgical intensive care unit (sicu), necessitating central venous catheter (cvc) removal and replacement. previous studies evaluating risk factors for cadvt in sicu patients are limited, and most lack a true denominator of all cvc days. methods: the following data from all sicu patients in two urban level i trauma centers were prospectively collected from 2009 to 2012: demographics, risk factors for dvt, cvc site/type/duration, and duplex results.."
23354238,PICC indwelling time,No,"which central venous catheters have the highest rate of catheter-associated deep venous thrombosis: a prospective analysis of 2,128 catheter days in the surgical intensive care unit.. ."
30111976,Cancer,No,"perceptions of vascular access for intravenous systemic therapy and risk factors for lymphedema in early-stage breast cancer-a patient survey. using a patient survey, we evaluated the patient experience with vascular access during treatment for early-stage breast cancer and explored perceived risk factors for lymphedema.. ."
24811603,PICC infection,No,one suspected catheter-associated bloodstream infection did occur in the picc group..
24811603,Blood vessel irritating drug_vancomycin_amphotericine,No,"background: according to the 2011 infusion nursing standards of practice, the low ph of intravenous vancomycin requires that it be administered through a central line.. ."
31387123,PICC infection,No,"background: a key factor in the successful treatment of periprosthetic joint infection is the consistent antimicrobial therapy. none of our patients had picc-associated infections, thrombophlebitis or thrombosis. at a mean follow-up of 29 months, successful infection eradication as measured by the delphi criteria was achieved in 100%.."
31565960,PICC infection,No,"the primary end point was the incidence of composite catheter-related adverse events that included local events, catheter dislodgment, infiltration, catheter occlusion, catheter-related venous thromboembolism, extravasation, and line-associated infection.."
31464692,Chemotherapy,No,conclusions: implantable port catheter has advantages over picc in reducing cancer patients' complications and less cost in terms of long-term cancer chemotherapy.. .
31464692,Cancer,No,conclusions: implantable port catheter has advantages over picc in reducing cancer patients' complications and less cost in terms of long-term cancer chemotherapy.. .
31464692,PICC insertion procedure,Yes,". peripherally inserted central catheter use was associated with higher complication rates than ipc, including occlusion, infection, malposition, catheter-related thrombosis, extravasation, phlebitis, and accidental removal rate.."
31464692,PICC infection,No,"peripherally inserted central catheter use was associated with higher complication rates than ipc, including occlusion, infection, malposition, catheter-related thrombosis, extravasation, phlebitis, and accidental removal rate.."
23697825,Cancer,No,"in the non-comparison studies, the weighted frequency of picc-related deep vein thrombosis was highest in patients who were critically ill (13·91%, 95% ci 7·68-20·14) and those with cancer (6·67%, 4·69-8·64).. ."
36299679,Chemotherapy,No,objective: this study intended to analyze hazardous factors of venous thrombosis by comparing the effect of different doses of heparin sodium injection on the incidence rate of peripherally inserted central catheter (picc)-related venous thrombosis in non-small cell lung carcinoma (nsclc) patients during postoperative chemotherapy. conclusion: heparin sodium could significantly lower the incidence rate of picc-related venous thrombosis in nsclc patients during postoperative chemotherapy.. .
36299679,Cancer,No,. objective: this study intended to analyze hazardous factors of venous thrombosis by comparing the effect of different doses of heparin sodium injection on the incidence rate of peripherally inserted central catheter (picc)-related venous thrombosis in non-small cell lung carcinoma (nsclc) patients during postoperative chemotherapy..
24436591,Gender,No,". patients were analyzed for age, gender, race, site of thrombosis, coagulation factors, lipid panel, type of antiretroviral treatment, past or present history of infections or malignancy, cd4 absolute and helper cell counts at the beginning of thrombosis, response to treatment and outcome.. all were male patients with six patients having lower limb thrombosis, one patient with upper limb thrombosis related to peripheral inserted central catheter (picc), and one patient had pulmonary embolism with no deep vein thrombosis. conclusion thrombosis in hiv patients is seen more commonly in middle aged, community ambulant male patients.."
24436591,PICC infection,Yes,"there are several intersecting mechanisms associated with hiv infection and antiviral therapy that are emerging, which may lead to vasculopathy and hypercoagulability in these patients. patients were analyzed for age, gender, race, site of thrombosis, coagulation factors, lipid panel, type of antiretroviral treatment, past or present history of infections or malignancy, cd4 absolute and helper cell counts at the beginning of thrombosis, response to treatment and outcome.."
35815563,Anticoagulants therapy,No,"results: anticoagulants resulted a protective factor mostly for partial cvc occlusion (p = 0.0001), preventing cvc occlusions.. ."
35701467,Diabete,No,"compared to the crt-free group, the crt group was older and showed higher body mass index (bmi), leukocyte count level, and the prevalence of diabetes mellitus.. ."
35701467,BMI,Yes,". compared to the crt-free group, the crt group was older and showed higher body mass index (bmi), leukocyte count level, and the prevalence of diabetes mellitus.. compared to the crt-free group, the crt group was older and showed higher body mass index (bmi), leukocyte count level, and the prevalence of diabetes mellitus. multivariable logistic regression analysis showed that bmi (p = 0.03) was a significant risk factor for crt.."
35701467,Age,No,". compared to the crt-free group, the crt group was older and showed higher body mass index (bmi), leukocyte count level, and the prevalence of diabetes mellitus.."
37349797,Age,No,". the cases highlight that clinicians should have a low threshold to utilise imaging modalities such as computerised tomography and transthoracic echocardiography when there is an untoward change in physiological parameters among patients with peripherally inserted central catheters, particularly those with risk factors for peripherally inserted central catheter associated venous thrombosis.."
29148000,Cancer,No,"methods: from october 2010 to december 2014, 221 cancer patients with svcs in our center received real-time ultrasound-guidance of the superficial femoral vein inserted central catheters (ficcs) at the mid-thigh.. ."
29148000,PICC insertion procedure,No,. it is interesting that a higher rate of catheter malposition was observed in the upper extremity veins picc group than in the ficc group (2.15% vs..
29377971,Two or more lumens,No,". compared to piccs placed for >5 days, variables associated with short-term piccs included difficult venous access (odds ratio [or], 1.54; 95% confidence interval [ci], 1.40-1.69), multilumen devices (or, 1.53; 95% ci, 1.39-1.69), and teaching hospitals (or, 1.25; 95% ci, 1.04-1.52).."
29377971,PICC infection,No,"complications associated with short-term use, including major (eg, venous thromboembolism [vte] or central lineassociated bloodstream infection [clabsi]) or minor (eg, catheter occlusion, tip migration) events were assessed.."
25120012,Chemotherapy,No,"purpose: few prospective follow-up studies evaluating the use of peripherally inserted central catheters (piccs) to deliver chemotherapy and/or home parenteral nutrition (hpn) have focused exclusively on oncology outpatients. the main findings of this study were that, if accurately managed, piccs can be safely used in cancer patients receiving chemotherapy and/or hpn, recording a low incidence of crbsi, thrombosis, and mechanical complications; a long catheter life span; and a low probability of catheter removal because of complications.. ."
25120012,Cancer,No,"the main findings of this study were that, if accurately managed, piccs can be safely used in cancer patients receiving chemotherapy and/or hpn, recording a low incidence of crbsi, thrombosis, and mechanical complications; a long catheter life span; and a low probability of catheter removal because of complications.. ."
25120012,PICC indwelling time,No,"the incidence of catheter-related bloodstream infections (crbsis) was low (0.05 per 1,000 catheter days), picc-related symptomatic thrombosis was rare (1.1 %; 0.05 per 1,000 catheter days), and mechanical complications were uncommon (13.1 %; 0.63 per 1,000 catheter days).. ."
25120012,Total parenteral nutrition,No,purpose: few prospective follow-up studies evaluating the use of peripherally inserted central catheters (piccs) to deliver chemotherapy and/or home parenteral nutrition (hpn) have focused exclusively on oncology outpatients..
25120012,PICC infection,No,"the incidence of catheter-related bloodstream infections (crbsis) was low (0.05 per 1,000 catheter days), picc-related symptomatic thrombosis was rare (1.1 %; 0.05 per 1,000 catheter days), and mechanical complications were uncommon (13.1 %; 0.63 per 1,000 catheter days).."
34842905,Two or more lumens,No,". after adjusting for patient characteristics, comorbidities, catheter lumens, and dwell time in logit models, patients who received piccs had a greater risk of developing a major complication compared with those who received midlines (odds ratio, 1.99; 95% ci, 1.61-2.47).."
34842905,Number of comorbidities/HTA/Hyperglycemia,No,". after adjusting for patient characteristics, comorbidities, catheter lumens, and dwell time in logit models, patients who received piccs had a greater risk of developing a major complication compared with those who received midlines (odds ratio, 1.99; 95% ci, 1.61-2.47).."
34842905,PICC infection,No,"main outcomes and measures: major complications, including a composite of symptomatic catheter-associated deep vein thrombosis (dvt), catheter-related bloodstream infection, and catheter occlusion. reduction in complications stemmed from lower rates of occlusion (2.1% vs 7.0%; p < .001) and bloodstream infection (0.4% vs 1.6%; p < .001) in midlines vs piccs; no significant difference in the risk of dvt between piccs and midlines was observed. in time-to-event models, similar outcomes for bloodstream infection and catheter occlusion were noted; however, the risk of dvt events was lower in patients who received piccs vs midlines (hazard ratio, 0.53; 95% ci, 0.38-0.74). conclusions and relevance: in this cohort study among patients with placement of midline catheters vs piccs for short-term indications, midlines were associated with a lower risk of bloodstream infection and occlusion compared with piccs.."
26339941,Gender,Yes,". patient factors-including greater age, height, and weight, as well as male gender-were associated with increased vein diameter.."
33173567,Surgery_type of surgery,No,"this complication is more serious among patients with single ventricle physiology, as it might preclude them from undergoing further life-sustaining palliative surgery.."
37254629,Cancer,No,"while implanted port catheters (""ports"") have historically been the standard device for intravenous systemic anticancer therapy, the use of peripherally inserted central catheters (piccs) has increased continuously and reliable catheter selection guidelines are lacking.. ."
37254629,PICC infection,No,"among major complications, infections and mechanical complications were more common in piccs than in ports (11.9% vs 6.4%, p = .001, 7.3% vs 4.2%, p = .002), whereas the rate of thrombosis was similar (3.4% vs 3.0%, p = .9).."
32943968,Cancer,No,"central venous catheter thrombosis in cancer: a multi-centre retrospective study investigating risk factors and contemporary trends in management. we sought to explore the rate of cvct in a general cancer population in australia and to identify factors associated with increased risk of thrombosis. setting and participants: we analysed key patient, treatment, and cancer-related factors for 317 patients with cancer and central venous catheters inserted for systemic therapy. conclusions: this work explored rates of cvct in a general cancer population, observing increased rates in those with piccs or increased body mass index.. ."
32943968,BMI,No,". having a peripherally inserted central catheter (picc; hr = 3.78, 95% ci = 1.28-11.19, p = .02) compared with an implantable port and a body mass index of ⩾25.0 kg/m(2) (hr = 3.60, 95% ci = 1.31-9.85, p = .01) were independently associated with increased risk of thrombosis. conclusions: this work explored rates of cvct in a general cancer population, observing increased rates in those with piccs or increased body mass index.."
37166852,Gender,No,". age (median [interquartile range]: 68.7 [58.6-75.7], 66.6 [57.1-75.0], and 67.6 [58.7-75.8] yr) and gender (percentage female: 50.5%, 47.3%, and 43.8%) were similar in all groups.."
25374804,ICU,No,"some limits previously ascribed to piccs (i.e., low flow rates, difficult central venous pressure monitoring, lack of safety for radio-diagnostic procedures, single-lumen) have delayed their start up in the intensive care units as common practice.. . some limits previously ascribed to piccs (i.e., low flow rates, difficult central venous pressure monitoring, lack of safety for radio-diagnostic procedures, single-lumen) have delayed their start up in the intensive care units as common practice. second, an inappropriate cvad choice and, particularly, an inadequate insertion technique are relevant-and often not recognized-potential risk factors for complications in critically ill patients.."
25374804,PICC insertion procedure,No,". using the ultrasound-guidance for the picc insertion, the risk of hemothorax and pneumothorax can be avoided, as well as the possibility of primary malposition is very low.."
25374804,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". second, an inappropriate cvad choice and, particularly, an inadequate insertion technique are relevant-and often not recognized-potential risk factors for complications in critically ill patients.."
26623068,PICC infection,Yes,"thrombosis is a frequent complication that should be ruled out, as it is associated with potentially severe infection and hemodynamic consequences.."
